"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa.mir.1468",-2.69758927869782,2.02260774123238,-7.32383986318679,1.06046918857094e-12,3.70322573786678e-12,18.2273645272754
"hsa.mir.331",-1.95959157913656,4.544722979122,-7.31334584302819,1.1375391881054e-12,3.94108065170376e-12,18.0882100155955
"hsa.mir.3150b",-3.84350312066454,1.00423071338507,-7.23807173077896,1.87733058214046e-12,6.45332387610782e-12,17.6676804052578
"hsa.mir.4676",-2.76522382841899,-0.236387654020776,-7.19084380474131,2.56549641898194e-12,8.75053042133376e-12,17.4360251063318
"hsa.mir.370",-2.0699434102741,2.95911263994495,-7.13890878774263,3.61022549610392e-12,1.22192247560440e-11,17.016742021804
"hsa.mir.1228",-2.68534100903075,-0.250969463507594,-7.09643140041708,4.76722100094438e-12,1.6012040003172e-11,16.8343796096931
"hsa.mir.29b.2",2.26697355800659,8.55622334625714,7.09444845057387,4.82933980277865e-12,1.60977993425955e-11,16.6775691823267
"hsa.mir.3605",-2.85290585562402,1.24040598534262,-7.0748936868801,5.4861636427904e-12,1.81497143069758e-11,16.6560589701015
"hsa.mir.296",-3.44517203252603,1.67370961405593,-7.0669445327257,5.77760523862673e-12,1.89712410820579e-11,16.5587823843138
"hsa.mir.342",-2.22380971155362,6.00949415250946,-6.99499979703742,9.21106667349365e-12,3.00212543432385e-11,16.0002189919671
"hsa.mir.3074",-2.38610287428861,2.62107992365733,-6.96984404452415,1.08332356614686e-11,3.50487036106339e-11,15.951848316747
"hsa.let.7g",1.22752461997467,9.22051456363715,6.96633436845437,1.10808060566459e-11,3.5587990254921e-11,15.8233440849864
"hsa.let.7a.2",-1.57688165159403,12.4643104968875,-6.94434356831062,1.27635384080269e-11,4.06953398516799e-11,15.6036356484608
"hsa.let.7a.1",-1.58547862896943,12.4912424557756,-6.84624711670185,2.38794457934923e-11,7.55896125837166e-11,14.9911282597205
"hsa.let.7a.3",-1.59533452326969,12.5334359077611,-6.79403356081203,3.32352311713649e-11,1.04453583681433e-10,14.6677680883443
"hsa.mir.183",2.23681648309262,12.6938911051119,6.78093555906591,3.60977610863785e-11,1.12645495588699e-10,14.6219301902717
"hsa.mir.28",-1.24399065188418,12.2545857045778,-6.77863739602746,3.66243924191769e-11,1.13484032848154e-10,14.5774289031365
"hsa.mir.6892",-2.56227686873761,0.780520558718137,-6.72772901164542,5.04290228222152e-11,1.54088680845658e-10,14.5275352614296
"hsa.let.7c",-3.18549887050469,8.35493692788222,-6.74751651747997,4.45435880946471e-11,1.37057194137376e-10,14.4021987989935
"hsa.mir.501",-2.15679574449641,5.6111912629572,-6.69706237366347,6.10888805831561e-11,1.85373154873025e-10,14.1654654354758
"hsa.mir.432",-2.42112701490011,2.2641535483883,-6.65957970339582,7.71521820171294e-11,2.29371351942817e-10,14.0497234837295
"hsa.mir.361",-1.73669352303946,8.04735097214408,-6.67974118035383,6.8056473883035e-11,2.05101702113256e-10,14.0165201506686
"hsa.mir.30e",1.54300108442339,13.0528200950019,6.67849362829086,6.85873838609325e-11,2.05295570740206e-10,13.9796378793224
"hsa.mir.3928",-2.67089189379173,0.36891119093331,-6.62648658462724,9.47303041437093e-11,2.79740495457934e-10,13.9249798219316
"hsa.mir.5010",-2.4289873031139,-0.409034307957311,-6.59684215628465,1.13774004349795e-10,3.33737079426065e-10,13.7568941920094
"hsa.mir.190a",2.41602702070165,2.39189785903528,6.5223080354174,1.79812055085889e-10,5.23955657203916e-10,13.3129950190859
"hsa.mir.577",5.8742611888295,5.64901788088432,6.48461958351864,2.26281983570569e-10,6.50745573666996e-10,13.0891875772209
"hsa.mir.217",3.97805159449371,4.64136602929648,6.4648733723659,2.5513597384562e-10,7.289599252732e-10,12.9732572252341
"hsa.mir.2116",-2.37962298306043,-0.400813832878774,-6.45784530826019,2.66251714736854e-10,7.55811319253006e-10,12.9333996234457
"hsa.mir.143",2.65243446364494,16.4955431119457,6.5018264228262,2.03764456078724e-10,5.89844478122623e-10,12.8991421875367
"hsa.mir.6842",-2.52530755117202,1.2557689001259,-6.36033887931845,4.79284088113044e-10,1.35182691519064e-09,12.3267636533817
"hsa.mir.10b",1.87521572222936,14.9785522868172,6.35537683735308,4.93744646980042e-10,1.38374295968929e-09,12.0419895782979
"hsa.mir.27a",1.78029363555734,10.5877494913548,6.3098067143516,6.4816116351987e-10,1.80500577182749e-09,11.8368082916686
"hsa.mir.421",2.56289357634394,2.02937811469833,6.2249516291326,1.07135084035046e-09,2.9647444638629e-09,11.5860849918195
"hsa.mir.490",-4.63613860848118,0.0256359247161003,-6.21903866159451,1.10930703765868e-09,3.05059435356138e-09,11.467000734415
"hsa.mir.628",3.89115594835915,3.70625066515491,6.16615507810567,1.51275180936138e-09,4.08350181668102e-09,11.2517478979606
"hsa.mir.151a",1.45656851521993,11.1389531972882,6.19173322944885,1.30234194540767e-09,3.55919537875387e-09,11.1420712736099
"hsa.let.7f.1",2.86383822595315,11.2868583961599,6.16302978826818,1.54063639427724e-09,4.13341471635356e-09,11.0029894446426
"hsa.mir.127",-1.6720987842537,9.53543344128693,-6.16774316968638,1.49877216854062e-09,4.07073922319676e-09,10.9799140417857
"hsa.mir.493",1.86740865786977,3.63146987673972,6.11759504025679,2.00749917008821e-09,5.3210821375832e-09,10.9781634806515
"hsa.let.7f.2",2.92489338366107,11.3522883458235,6.12963263781208,1.87182591213425e-09,4.99153576569132e-09,10.8136956361942
"hsa.mir.22",1.50553536195571,15.4022752419137,6.06933869774069,2.65460191334821e-09,6.99416072977971e-09,10.3995533122745
"hsa.mir.450a.2",2.27681774434128,1.35557100635105,5.88694481631616,7.50960137943934e-09,1.95516248932148e-08,9.70637572677003
"hsa.mir.199b",2.52865708057092,11.2534148431326,5.92007149341801,6.22906432853208e-09,1.63142160985364e-08,9.6398937361899
"hsa.mir.598",3.00277994590018,3.33768402772642,5.83233577005811,1.02013262450461e-08,2.62490265954403e-08,9.40994792053125
"hsa.mir.188",2.42300726602432,2.60123459130222,5.80646747177188,1.17848914920284e-08,3.01473968400727e-08,9.27130075860419
"hsa.mir.26a.1",1.23691739870754,9.57450423247757,5.84768868327087,9.3617132886655e-09,2.42303167471342e-08,9.25514474334737
"hsa.mir.431",-1.77915716633959,3.19501818622967,-5.80264265765696,1.20385008343916e-08,3.06181524111693e-08,9.13772523053124
"hsa.mir.760",-2.54865732482399,-0.111986244578305,-5.7737007349476,1.41377785554943e-08,3.57507043932039e-08,9.09515238087972
"hsa.mir.487a",-2.17719681883626,0.331749901567429,-5.75832360577864,1.53941445564274e-08,3.87052777418746e-08,9.01238303762311
"hsa.mir.194.1",1.6212832152619,12.8542429157058,5.68996656944132,2.24257134483265e-08,5.60642836208163e-08,8.3520075896481
"hsa.mir.34a",1.79608396496484,6.66921112460888,5.6180294635093,3.31872225864668e-08,8.20358311126145e-08,8.16311491690162
"hsa.mir.192",2.46692687833908,15.8172147242638,5.65720009345403,2.68226174131987e-08,6.66776930045618e-08,8.15894408850867
"hsa.mir.937",-2.50444106699637,1.14442219892386,-5.5905863795645,3.84983454043018e-08,9.41070665438489e-08,8.09444553913311
"hsa.mir.1266",-2.40017311108195,3.57712261659269,-5.6110757376601,3.44612898881678e-08,8.47093159262226e-08,8.07044020829948
"hsa.mir.187",-3.32485418232816,-0.421404854596299,-5.53623056951096,5.15672592692914e-08,1.25356873361813e-07,7.84362362261399
"hsa.mir.592",4.99751262832982,4.04909963477975,5.47508617255824,7.14399446515069e-08,1.71768172932585e-07,7.53673830650808
"hsa.mir.450a.1",2.229157396798,1.30309078169504,5.45476309847555,7.95625462138494e-08,1.90258262685292e-07,7.43491911904434
"hsa.mir.26a.2",1.20365028945022,9.58431066843903,5.4853915853926,6.7635018036803e-08,1.63513230418645e-07,7.34027313617594
"hsa.mir.215",4.21516918244956,8.99866589829407,5.45040845365989,8.1416230728282e-08,1.93638602813211e-07,7.30181879571178
"hsa.mir.3677",2.37616231086794,2.98070316059025,5.39780495477837,1.0740335979481e-07,2.51369565477214e-07,7.14585760232979
"hsa.mir.30c.2",-1.13747309460806,7.46079138740037,-5.44689282728471,8.29433073617455e-08,1.96209974404129e-07,7.13931278813734
"hsa.mir.191",-1.15922100219083,9.43578851151334,-5.42901039179213,9.11518181178875e-08,2.14474866159735e-07,7.00773881490026
"hsa.mir.29c",2.17916634832021,9.66464874895554,5.36828505118618,1.25345901189951e-07,2.91810563616817e-07,6.76900831098119
"hsa.mir.887",-1.9242126211158,0.987196022213433,-5.25680504004073,2.23222555011737e-07,5.16936443185075e-07,6.43513206545933
"hsa.mir.1.1",3.85800940604614,3.54602828066484,5.16334497026787,3.59333679942219e-07,8.27784393584169e-07,5.98787834910961
"hsa.mir.95",2.50906506980432,3.59936657903312,5.15529620277156,3.74248725179551e-07,8.53209528906749e-07,5.9490615526199
"hsa.mir.323a",-1.82844175775159,1.71004876757937,-5.15212714337603,3.80284235510733e-07,8.62500327962487e-07,5.90062514210144
"hsa.mir.3653",-2.14009165814256,2.79674871196258,-5.15841335274679,3.68402604285262e-07,8.44255968153724e-07,5.854040032318
